FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
442,Social And Recreation Fund,2013-07-30T12:00:00.000Z,2013,Oriental Bay Residents Assn Inc,Communication with Residents,-,-,Oriental Bay,-,8/1/2013 12:00:00 AM,7/31/2014 12:00:00 AM,-,-,-,All,Wider community,-,-,-,-,-,4100,2400,1700,1500,1500,Approved,Complete,Two copies of the Association magazine - Bayview delivered to 800 addresses twice a year.,"Have a committee that meets at least twice a year, have an active membership of 10 or more, excluding the committee, keep accurate and detailed accounts, make your accounts/finances and minutes available to Wellington City Council.",-,-,-,-,-,-,-,-,-
443,Social And Recreation Fund,2015-03-22T12:00:00.000Z,2014,Beneficiary Education Advisory Service Incorporated,Benefit Rights Service,-,-,"All of Wellington City; Aro Valley - Highbury; Berhampore; Broadmeadows; Brooklyn; Churton Park - Glenside; Crofton Downs; Grenada Village - Paparangi; Hataitai; Island Bay - Owhiro Bay; Johnsonville; Karori; Kelburn; Khandallah - Kaiwharawhara; Kilbirnie; Kingston - Mornington - Vogeltown; Lyall Bay; Maupuia; Melrose; Miramar; Mt Cook; Mt Victoria; Newlands - Ngauranga; Newtown; Ngaio; Northland; Ohariu - Makara - Makara Beach; Oriental Bay; Rongotai - Moa Point; Roseneath; Seatoun - Karaka Bays - Breaker Bay; Southgate - Houghton Bay; Strathmore Park; Tawa - Grenada North - Takapu Valley; Te Aro; Thorndon - Pipitea; Wadestown; Wellington Central; Wilton; Woodridge - Horokiwi; All of Tawa; Grenada North; Linden; Takapu Valley; Tawa",-,3/20/2015 12:00:00 AM,3/20/2015 12:00:00 AM,3/20/2015 12:00:00 AM,3/20/2015 12:00:00 AM,-,All,All,Beneficiaries and people on low incomes,-,-,"Clearly visible signage; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,6300,0,6300,4000,3000,Approved,Complete,Retention of volunteers,Well run office,Good support offered to clients,-,-,-,-,-,-,-,-
444,General Grants,2012-08-30T12:00:00.000Z,2012,Oriental Bay Residents Assn Inc,Communication with Residents,-,-,Oriental Bay,-,10/1/2012 12:00:00 AM,5/31/2013 12:00:00 AM,-,-,-,All,Wider community,-,-,-,-,-,4100,2400,1700,1500,1500,Approved,Complete,Two copies of the Association magazine - Bayview.,Delivery (800),-,-,-,-,-,-,-,-,-
445,C H Izard Bequest,2013-02-27T12:00:00.000Z,2012,Beneficiary Education Advisory Service Incorporated,Salary for Paying a full time coordinator,-,-,All of Wellington City,-,1/18/2013 12:00:00 AM,3/28/2013 12:00:00 AM,-,-,-,All,All,Beneficiaries/people on low incomes,-,-,-,-,48326,112,48214,10000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
446,Social And Recreation Fund,2017-03-30T12:00:00.000Z,2016,Oriental Bay Residents Assn Inc,Communication with Residents,-,-,Oriental Bay,-,4/1/2017 12:00:00 AM,12/31/2017 12:00:00 AM,1/28/2017 12:00:00 AM,1/28/2017 12:00:00 AM,-,All,-,Local Residents - Oriental Bay,-,-,-,-,5500,2500,3000,3000,500,Approved,Monitoring,"Have a committee meeting/AGM at least twice a year (as per your constitution/rules), have an active membership of 10 or more - excluding the committee, keep accurate and detailed accounts and make your accounts and minutes available to WCC.","Communicate with residents in the area, in appropriate ways to reach as many people as possible - moving to digital formats rather than printed material (e-newsletters, website, social media ), please add us to any electronic email distribution lists.",Have an up to date profile on CommunityFinder.org.nz,"Grow your membership in the year, tell us how you have done this and how you have measured this.","Have a positive inclusive approach to working with all residents, reporting on examples of projects or initiatives that build connections and neighbourliness.",-,-,-,-,-,-
447,Social And Recreation Fund,2017-03-30T12:00:00.000Z,2016,Berhampore Community Association,Berhampore Community Association operational grant - including support for 2017 projects,-,-,Berhampore,-,3/31/2017 12:00:00 AM,3/31/2017 12:00:00 AM,3/31/2017 12:00:00 AM,3/31/2017 12:00:00 AM,-,All,All,-,-,-,-,-,2987.5,1202.1,1785.4,1500,500,Approved,Monitoring,"Have a committee meeting/AGM at least twice a year (as per your constitution/rules), have an active membership of 10 or more - excluding the committee, keep accurate and detailed accounts and make your accounts and minutes available to WCC.","Communicate with residents in the area, in appropriate ways to reach as many people as possible - moving to digital formats rather than printed material (e-newsletters, website, social media ), please add us to any electronic email distribution lists.",Have an up to date profile on CommunityFinder.org.nz,"Grow your membership in the year, tell us how you have done this and how you have measured this.","Have a positive inclusive approach to working with all residents, reporting on examples of projects or initiatives that build connections and neighbourliness.",-,-,-,-,-,-
448,Social And Recreation Fund,2015-10-27T12:00:00.000Z,2015,Oriental Bay Residents Assn Inc,Communication with Residents,-,-,Oriental Bay,-,10/1/2015 12:00:00 AM,8/31/2016 12:00:00 AM,9/10/2015 12:00:00 AM,9/10/2015 12:00:00 AM,-,All,Other specific group,Local residents - Oriental Bay,-,-,-,-,5500,3000,2500,2500,1500,Approved,Complete,"Communicate with residents in the area defined by our rules, promote community activity, events, meetings etc in appropriate ways - e.g. printed (OBRA bulletin) or digital (e-newsletters, website, social media etc)","Have a committee meeting/AGM at least twice a year (as per our constitution/rules), have an active membership of 10 or more- excluding committee, keep accurate and detailed accounts, make your accounts and minutes available to Wellington City Council.",-,-,-,-,-,-,-,-,-
449,General Grants - Contract Funding,2016-04-14T12:00:00.000Z,2016,Berhampore School,Centennial Community Centre- year 1 of 3 (2016-2017),-,-,Berhampore,-,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,-,-,-,-,-,-,-,-,39968,2957,37011,43005,32133,Approved,Monitoring,-,-,-,-,-,-,-,-,-,-,-
450,Built Heritage Incentive Fund,2016-07-05T12:00:00.000Z,2016,Assembly of God (Wellington Samoan) Trust Board,"Repiling and Earthquake Strengthening of Foundation - Samoan Assembly of God, Rintoul Street, Berhampore",-,-,Berhampore,-,9/1/2016 12:00:00 AM,9/1/2017 12:00:00 AM,7/3/2016 12:00:00 AM,7/3/2016 12:00:00 AM,-,-,-,-,-,-,-,-,239363,139363,100000,100000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
451,Communities On Bikes Fund,2016-09-15T12:00:00.000Z,2016,Bikes Welcome Charitable Trust,BikesWelcome,-,-,All of Wellington City,-,10/14/2016 12:00:00 AM,10/13/2017 12:00:00 AM,9/5/2016 12:00:00 AM,9/5/2016 12:00:00 AM,-,-,All,Bike Users,-,-,-,-,1000,0,1000,1000,1000,Approved,Monitoring,Helps ensure the necessary infrastructure is provided in the right places to encourage and enable everyday cycling in Wellington. 5% businesses in Wellington City to provide improved bike parking.,"Well parked bikes in public spaces create the impression of a healthy, mobile and accessible city where people choose to cycle for transport, and enjoy the social, economic, environmental and health benefits of cycling.","Provision of bike parking supports and encourages everyday cycling and plants the idea “hey, I could cycle here”.",Helping businesses to recognise and value their bike using customers and adjust the perception that ‘my customers don’t cycle’.,"Build ‘social license’ for bike use - Help businesses and organisations see people on bikes as people, rather than as annoyances or cliches ‘lycra clad sporty types’..",-,-,-,-,-,-
452,General Grants - Contract Funding,2017-03-30T12:00:00.000Z,2017,Berhampore School,Centennial Community Centre- year 2 of 3 (2017-2018),-,-,Berhampore,-,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,-,-,-,-,-,-,-,-,39968,2957,37011,43005,43645,Approved,Monitoring,-,-,-,-,-,-,-,-,-,-,-
453,C H Izard Bequest,2015-03-22T12:00:00.000Z,2014,Orientation Aotearoa Trust,Orientation Aotearoa,-,-,"All of Wellington City; Miramar",-,4/13/2015 12:00:00 AM,12/4/2015 12:00:00 AM,2/18/2015 12:00:00 AM,2/18/2015 12:00:00 AM,-,Young people,All,Changemakers,-,-,-,-,400000,395000,5000,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,www.oa.org.nz
454,Communities On Bikes Fund,2017-06-07T12:00:00.000Z,2016,Bikes Welcome Charitable Trust,Bikes Mean Business Short Film,-,-,All of Wellington City,-,7/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,6/3/2017 12:00:00 AM,6/3/2017 12:00:00 AM,-,All,All,-,-,-,-,-,2400,0,2400,2400,2400,Approved,Monitoring,Normalise transport cycling,Encourage taking more short trips by bike,Encourage businesses to be bike friendly and support cycling in their areas,Raise the profile of cycling as a form of transport,Recruit more Bikes Welcome Businesses and BWBDs in Wellington,-,-,-,-,-,-
455,Our Living City Fund,2015-03-23T12:00:00.000Z,2014,Orientation Aotearoa Trust,Orientation Aotearoa,-,-,"All of Wellington City; Miramar",-,4/13/2015 12:00:00 AM,12/4/2015 12:00:00 AM,2/25/2015 12:00:00 AM,2/25/2015 12:00:00 AM,-,Young people,All,"Positive Changemakers, Social Entrepreneurs",-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet","Free to all; Koha/donation; User pays",400000,390000,10000,10000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,www.oa.org.nz
456,Built Heritage Incentive Fund,2014-11-04T12:00:00.000Z,2014,Assembly of God (Wellington Samoan) Trust Board,Exterior building restoration and painting,-,-,Berhampore,-,12/10/2014 12:00:00 AM,3/10/2015 12:00:00 AM,11/4/2014 12:00:00 AM,11/4/2014 12:00:00 AM,-,-,-,-,-,-,-,-,67950,47950,20000,20000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
457,Arts And Culture Fund,2015-03-21T12:00:00.000Z,2014,Orientation Aotearoa Trust,"Tu te Mauri-Connecting to Past, Present and Future Aotearoa",-,-,Miramar,Gallery/Classroom Shelly Bay.,4/27/2015 12:00:00 AM,5/1/2015 12:00:00 AM,4/27/2015 12:00:00 AM,5/1/2015 12:00:00 AM,-,Young people,All,Wider Wellington public,-,-,"Clearly visible signage; Wheelchair accessible toilet",Free to all,1980,0,1980,1980,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,www.oa.org.nz
458,Communities On Bikes Fund,2017-06-07T12:00:00.000Z,2016,Bikes Welcome Charitable Trust,Bikes Welcome Business Districts,-,-,All of Wellington City,-,7/10/2017 12:00:00 AM,10/31/2017 12:00:00 AM,6/3/2017 12:00:00 AM,6/3/2017 12:00:00 AM,-,All,All,-,-,-,-,-,8587.7,0,8587.7,8587.69,8588,Approved,Monitoring,Encourage shopping locally by bike,Encourage taking more short trips by bike,Encourage businesses to be bike friendly and support cycling in their areas,Raise the profile of cycling as a form of transport,Establish the concept of Bikes Welcome Businesses and BWBDs in Wellington,-,-,-,-,-,-
459,Built Heritage Incentive Fund,2016-10-27T12:00:00.000Z,2016,Assembly of God (Wellington Samoan) Trust Board,"Repiling and Earthquake Strengthening of Foundation - Samoan Assembly of God, Rintoul Street, Berhampore",-,-,Berhampore,-,1/1/2017 12:00:00 AM,12/1/2017 12:00:00 AM,10/28/2016 12:00:00 AM,10/28/2016 12:00:00 AM,-,-,-,-,-,-,-,-,223723,173223,50500,50000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
460,Arts And Culture Fund,2016-08-08T12:00:00.000Z,2016,Oriential Cultural and Performing Arts Group,Chinese Children's Art Festival,-,-,Wellington Central,Tepapa,5/9/2016 12:00:00 AM,11/22/2016 12:00:00 AM,11/21/2016 12:00:00 AM,11/22/2016 12:00:00 AM,-,-,-,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,5150,800,4350,4350,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,https://www.facebook.com/events/1187492317935835/
461,Built Heritage Incentive Fund,2013-03-30T12:00:00.000Z,2012,Bill Barrett,Strengthening and associated professional services,-,-,"All of Wellington City; Te Aro",-,8/1/2013 12:00:00 AM,2/1/2015 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,48500,20500,28000,23000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
462,C H Izard Bequest,2017-03-30T12:00:00.000Z,2016,Asthma Wellington branch of Asthma New Zealand - The Lung Association Inc.,Breathe Easy Asthma Education & Prevention program with school/preschool,-,-,All of Wellington City,-,7/17/2017 12:00:00 AM,10/17/2017 12:00:00 AM,2/16/2017 12:00:00 AM,2/16/2017 12:00:00 AM,-,All,All,-,-,-,-,-,5952,0,5952,5952,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
463,Social And Recreation Fund,2014-08-19T12:00:00.000Z,2014,Athletics Wellington,Get Set Go for Clubs and the Community,-,-,All of Wellington City,-,10/11/2014 12:00:00 AM,3/21/2015 12:00:00 AM,8/18/2014 12:00:00 AM,8/18/2014 12:00:00 AM,-,Children,Wider community,Parents/Grandparents/Caregivers of the children who would be taking part - encouraging them to get involved in the Get Set Go activities alongside the children,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",User pays,6550,1400,5150,5150,4500,Approved,Complete,Run a Get Set Go programme for Under 7s as part of the WHAC club's activities on Saturday mornings at Newtown Park,Use the WHAC Get Set Go programme as a training base for our Karori and Tawa Get Set Go programmes,Encourage teenage athletes to get involved as volunteers for the Get Set Go programme in clubs,Encourage parents to become volunteers by participating in the Get Set Go programme and progressing to become Get Set Go coordinators in the future at clubs,Run a Get Set Go Festival event at Newtown Park open to all children whether they are members of a club or not,-,-,-,-,-,-
464,Community Events Sponsorship,2016-07-07T12:00:00.000Z,2016,Oriential Cultural and Performing Arts Group,Chinese Children's Art Festival,-,-,All of Wellington City,Te papa,6/9/2016 12:00:00 AM,6/9/2016 12:00:00 AM,7/9/2016 12:00:00 AM,11/22/2016 12:00:00 AM,"Children (under 13 years); Families; Teenagers (13-17 years); Young adults (18-25 years)",-,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,5150,800,4350,4350,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,https://www.facebook.com/events/1187492317935835/
465,Communities On Bikes Fund,2016-09-15T12:00:00.000Z,2016,Binge Culture Collective Limited,"City Cycling Skills: Coaching that teaches you how to survive, and even enjoy, cycling in Wellington traffic",-,-,All of Wellington City,-,9/16/2016 12:00:00 AM,9/16/2016 12:00:00 AM,9/16/2016 12:00:00 AM,9/16/2016 12:00:00 AM,-,All,All,-,-,-,-,-,7290,1940,5350,5350,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
466,Social And Recreation Fund,2016-03-10T12:00:00.000Z,2015,Outerspaces Charitable Trust,Outerspaces Coordinator Salary,-,-,All of Wellington City,-,5/26/2016 12:00:00 AM,7/10/2016 12:00:00 AM,3/10/2016 12:00:00 AM,3/10/2016 12:00:00 AM,-,Young people,Other specific group,"Gender, sex and sexuality diverse young people (LGBTQIA).",-,-,"Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,9240,0,9240,9240,5000,Approved,Monitoring,Outerspaces Coordinator works with young Wellingtonians,Provide School's Out support group once per week.,Provide Tranzform support group once per fortnight.,Provide Naming New Zealand support through quarterly grants.,Establish an active fundraising team with annual targets.,-,-,-,-,-,"www.naming.nz, www.tranzform.org.nz, www.facebook.com/schoolsoutwellington"
467,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2015-08-30T12:00:00.000Z,2015,Binge Culture Collective Limited,Site-Specific Podcast,-,-,-,Streets of Courtney and Cuba quarters,10/5/2015 12:00:00 AM,11/14/2015 12:00:00 AM,10/16/2015 12:00:00 AM,11/14/2015 12:00:00 AM,-,All,-,-,5,300,-,-,2000,560,1440,1440,1440,Approved,Monitoring,"Wellington residents gain an appreciation of the depth and range of the local literary community, and learn how the LitCrawl festival was created.",Local residents and visitors participate in a friendly and unique introduction to the cultural and creative life of the city through a tour of venues associated with LitCrawl.,"A high quality podcast is delivered through a unique and accessible platform that appeals particularly to young people, through which they can begin to deepen their engagement with language and literature.",Wellington becomes one of the first cities in the world (along with major centres like Paris and London) to enjoy art delivered through this highly innovative new medium.,-,-,-,-,-,-,www.bingeculture.co.nz/audiotours
468,Creative Communities Local Funding Scheme (Legacy),2012-08-30T12:00:00.000Z,2012,Au Contraire Incorporated,Au Contraire 2013 - the 34th science fiction convention of New Zealand,-,-,"All of Wellington City; Wellington Central",-,7/12/2013 12:00:00 AM,7/14/2013 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,12200,10500,1700,1700,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
469,Arts And Culture Fund,2013-10-30T12:00:00.000Z,2013,Binge Culture Collective Limited,This Rugged Beauty,-,-,Wellington Central,BATS Theatre,2/6/2014 12:00:00 AM,3/5/2014 12:00:00 AM,-,-,-,-,-,-,-,-,Clearly visible signage,User pays,24550,19650,4900,4900,4000,Approved,Complete,Keeping up the momentum of the company: making it more sustainable for us to commit to it full time.,"Building and leading a culture of innovative performance practice: we want progressive theatre practice to become sustainable for artists and more mainstream for the public - in line with efforts by The Big Live Arts Group, with which we are involved.",Box Office Success: Attendance: we would like to see minimum 50% houses and are aiming for a sell-out season.,"Wellingtonians experience a high quality work that fulfils our goals to push artistic boundaries, integrate audience and make meaningful commentary on our society.",-,-,-,-,-,-,-
470,Social And Recreation Fund,2013-10-30T12:00:00.000Z,2013,Autism Intervention Trust,2014 Holiday programmes for children with autism,-,-,"All of Wellington City; Berhampore",-,1/2/2014 12:00:00 AM,10/3/2014 12:00:00 AM,-,-,-,Children,Other specific group,Children with autism,-,-,Clearly visible signage,-,61147,12870,48277,10000,7000,Approved,Complete,Provide a holiday programmes for young epople from Wellington with Austism,Have at least 20 children taking part in each programme,"Review and improve the programme. Report on how you will do this, share findings of your improvement process in your report.",-,-,-,-,-,-,-,-
471,General Grants,2012-10-30T12:00:00.000Z,2012,Autism Intervention Trust,2013 Holiday Programmes for kids with autism,-,-,"All of Wellington City; Mt Victoria",-,1/3/2013 12:00:00 AM,10/4/2013 12:00:00 AM,-,-,-,Children,Other specific group,Children with autism,-,-,-,-,86100,15600,70500,10000,6000,Approved,Complete,continue running our programmes.,Continue having up to 20 children on each programme,Continue to review and improve our programmes,-,-,-,-,-,-,-,-
472,Creative Communities Local Funding Scheme (Legacy),2013-08-30T12:00:00.000Z,2013,Binge Culture Collective Limited,The Joy Project,-,-,Wellington Central,Performance arcade 2014. Waterfront in front of Te Papa.,2/26/2014 12:00:00 AM,3/3/2014 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,2380,0,2380,2380,2000,Approved,Complete,Create our first durational public performance,Deliver an engaging piece of performance that is interactive and inclusive of the public,Compile a body of stories and research for further exploration of this theme,-,-,-,-,-,-,-,-
473,Social And Recreation Fund,2016-03-10T12:00:00.000Z,2015,Autism Intervention Trust,HolidayProgramme for Children with Autism,-,-,Berhampore,-,7/11/2016 12:00:00 AM,4/21/2017 12:00:00 AM,3/11/2016 12:00:00 AM,3/11/2016 12:00:00 AM,-,Children,People with Disabilities,children with autism,-,-,Clearly visible signage,User pays,61147,35350,25797,10000,6000,Approved,Monitoring,continue to run programmes,continue having up to 20 children per programme,continue to review and improve our programmes,-,-,-,-,-,-,-,-
474,Creative Communities Local Funding Scheme (Legacy),2013-08-30T12:00:00.000Z,2013,Binge Culture Collective Limited,Scratch Nights,-,-,Wellington Central,"BATS Theatre’s bar, The Understudy",10/16/2013 12:00:00 AM,12/18/2013 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,2542.5,450,2092.5,2092.5,1500,Approved,Complete,"To host 3 Scratch Nights, each featuring a variety of work from a variety of theatre practitioners",To encourage experimentation,To present new New Zealand work of international standard,To engage the community in a conversation about the value of theatre,"To build a new audience for theatre in Wellington, as well as sharing the audience of each performing group",-,-,-,-,-,-
475,Social And Recreation Fund,2015-03-22T12:00:00.000Z,2014,Autism Intervention Trust,2015/16 Holiday programmes for children with autism,-,-,-,-,7/6/2015 12:00:00 AM,4/22/2016 12:00:00 AM,3/13/2015 12:00:00 AM,3/13/2015 12:00:00 AM,-,Children,Other specific group,Children with autism,-,-,Clearly visible signage,User pays,61147,29355,31792,10000,6000,Approved,Complete,continue running programmes,continue having up to 20 children per programme,continue to review and improve our programmes,-,-,-,-,-,-,-,-
476,Arts And Culture Fund,2016-03-21T12:00:00.000Z,2015,Binge Culture Collective Limited,Stranger in Town,-,-,"Oriental Bay; Wellington Central",Wellington Waterfront and inner city streets of Wellington.,7/18/2016 12:00:00 AM,9/24/2016 12:00:00 AM,9/17/2016 12:00:00 AM,9/24/2016 12:00:00 AM,-,All,All,-,-,-,"Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Koha/donation,58285,55285,3000,3000,3000,Approved,Complete,"A 20mins outdoor, immersive theatrical audio tour is created and presented as a ‘one­off, in development’ showing to the general public",Content is presented that explores varying ways of augmenting reality for participants,Wellington’s public space is activated with between 70 ­ 100 audience members experiencing the city in new and surprising ways through a development showing,At least one small Wellington businesses participates in the development showing,SSE technology is tested and a decision made as to whether to use it in the project’s next stages.,-,-,-,-,-,http://www.bingeculture.co.nz/
477,Social And Recreation Fund,2017-03-30T12:00:00.000Z,2016,Autism Intervention Trust,Holiday programme for Children with Autism,-,-,Berhampore,-,7/10/2017 12:00:00 AM,4/20/2018 12:00:00 AM,3/8/2017 12:00:00 AM,3/8/2017 12:00:00 AM,-,Children,People with Disabilities,Children with autism,-,-,Clearly visible signage,User pays,61147,35350,25797,10000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
478,Arts And Culture Fund,2016-08-08T12:00:00.000Z,2016,Binge Culture Collective Limited,Trial,-,-,Kingston - Mornington - Vogeltown,Vogelmorn Bowling Club,10/17/2016 12:00:00 AM,12/16/2016 12:00:00 AM,11/19/2016 12:00:00 AM,11/19/2016 12:00:00 AM,-,All,All,-,-,-,"Mobility parking nearby; Wheelchair accessible toilet",User pays,5130,800,4330,4330,4300,Approved,Monitoring,A new format for A Trial is developed and tested,A topical issue of importance and relevance to the local Wellington community is debated and interrogated,'A Trial' is staged at Spring Uprising as an example of cutting edge socially engaged art work,Wellingtonians are supported to participate in a theatre work and to get involved in community discussion,-,-,-,-,-,-,http://atrialshow.weebly.com/
479,Social And Recreation Fund,2015-10-27T12:00:00.000Z,2015,Outerspaces Charitable Trust,Outerspaces Coordinator Salary,-,-,All of Wellington City,-,1/18/2016 12:00:00 AM,7/10/2016 12:00:00 AM,10/28/2015 12:00:00 AM,10/28/2015 12:00:00 AM,-,Young people,Other specific group,"Gender, sex and sexuality diverse young people (LGBTQIA).",-,-,"Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,9240,0,9240,9240,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,"www.naming.nz, www.tranzform.org.nz, www.facebook.com/schoolsoutwellington"
480,Joe Aspell Funding,2014-10-30T12:00:00.000Z,2014,Autism New Zealand,LEGO Club,-,-,Wellington Central,-,6/1/2015 12:00:00 AM,12/31/2015 12:00:00 AM,10/23/2014 12:00:00 AM,10/23/2014 12:00:00 AM,-,Children,All,-,-,-,-,-,5647,750,4897,4897,1000,Approved,Monitoring,We would like the children to make friendships,We would like the children to develop socially appropriate behaviour,We would like to be able to recognise our volunteers who help out our support group once a term.,We would like to children to communicate with their families at a higher level.,-,-,-,-,-,-,-
481,Joe Aspell Funding,2015-10-30T12:00:00.000Z,2015,Outerspaces Charitable Trust,Wellington Queer and Trans Ball 2016,-,-,Te Aro,-,8/20/2016 12:00:00 AM,8/21/2016 12:00:00 AM,10/30/2015 12:00:00 AM,10/30/2015 12:00:00 AM,-,Young people,Other specific group,LGBTIQ (Gender and sexuality diverse) Young People,-,-,-,-,8400,0,8400,4000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,https://www.facebook.com/schoolsoutwellington/
482,Creative Communities Local Funding Scheme (Legacy),2013-08-30T12:00:00.000Z,2013,Binti Gurung,"Screening of the Nepali movie, Kathaa",-,-,Brooklyn,"Still in the process of confirming the venue, but most possibly the film will be screened at Penthouse Cinema.",10/26/2013 12:00:00 AM,11/30/2013 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,2650,1100,1550,1500,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
483,Creative Communities Local Funding Scheme (Legacy),2014-08-30T12:00:00.000Z,2014,Out Of Bounds - Dean Hewison T/A,Commercials - The Musical,-,-,Wellington Central,BATS Theatre,2/1/2015 12:00:00 AM,2/28/2015 12:00:00 AM,8/29/2014 12:00:00 AM,8/29/2014 12:00:00 AM,-,-,-,-,-,-,-,-,7306.4,4552,2754.4,2754.4,2000,Approved,Complete,Achieve minimum of 70% houses over the season.,Receive 3 positive published reviews.,Create opportunities for the work to continue in future festivals.,-,-,-,-,-,-,-,-
484,C H Izard Bequest,2015-03-22T12:00:00.000Z,2014,Birthright Wellington,Parenting self esteem workshops,-,-,All of Wellington City,-,4/28/2015 12:00:00 AM,11/30/2015 12:00:00 AM,3/9/2015 12:00:00 AM,3/9/2015 12:00:00 AM,-,-,All,Single parents,-,-,-,-,6842.4,0,6842.4,5000,4500,Approved,Monitoring,"Children's safety and well being is improved and their physical, emotional and spiritual needs are met.",Parent's have strong boundaries in place.,Parent's confidence to parent well and positively is increased.,Parent's need of support in managing teenagers is increased.,Family relationships are strengthened.,-,-,-,-,-,www.birthright.org.nz
485,,,,,,,,,1 Kent Tce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,General Grants,2012-10-30T12:00:00.000Z,2012,Birthright Wellington,Children's self esteem programme,-,-,All of Wellington City,-,1/21/2013 12:00:00 AM,10/31/2013 12:00:00 AM,-,-,-,Young people,Other specific group,children and young poeople of one parent families,-,-,-,-,41330,8150,33180,15000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
487,,,,,,,,,Wellington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,C H Izard Bequest,2017-03-30T12:00:00.000Z,2016,Birthright Wellington,Breaking Down the Barriers,-,-,All of Wellington City,-,5/1/2017 12:00:00 AM,1/1/2018 12:00:00 AM,2/27/2017 12:00:00 AM,2/27/2017 12:00:00 AM,-,Children,All,Children and young people that are led by one person.,-,-,-,-,6683.2,0,6683.2,4500,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
489,Creative Communities Local Funding Scheme (Legacy),2014-08-30T12:00:00.000Z,2014,Out Of Bounds - Dean Hewison T/A,Two Day Plays,-,-,Wellington Central,BATS Theatre,3/6/2015 12:00:00 AM,4/26/2015 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,7329.31,4060.4,3268.91,3268.91,3000,Approved,Complete,Facilitate the creation and presentation of 24 brand new 10 minute plays.,Involve at least 120 theatre practitioners participating in the Two Day Plays project.,Minimum of 70% houses.,-,-,-,-,-,-,-,-
490,General Grants,2013-03-30T12:00:00.000Z,2012,Birthright Wellington,Building Futures,-,-,All of Wellington City,-,5/6/2013 12:00:00 AM,3/3/2014 12:00:00 AM,-,-,-,Young people,Other specific group,children and young people of one parent families,-,-,-,-,35880,10100,25780,12000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
